날짜,댓글,조회수,좋아요,싫어요
2021-05-07 10:53,무야  ,364,3,0
2022-06-09 15:09,불확실성이 싫어 절반매도,194,0,0
2022-06-23 18:02,금감원 공매도 부서,154,2,0
2022-06-08 08:32,삼성전기  역대 최저 밸류  주가 빠질    ,289,1,1
2022-05-26 11:46,내일 금욜,321,0,2
2022-01-06 12:15,아진짜,397,0,1
2022-06-09 14:51,운이 좋았나봐요,376,3,1
2020-07-01 11:25,답글  삭제된 게시물의 답글 충격 경악 임종석   ,286,0,1
2022-01-27 14:20,답글  삭제된 게시물의 답글 윤가장모,294,4,3
2021-01-12 10:46, 같네  ,215,0,0
2021-04-29 12:46,손절안하고 물타기하다가,171,3,1
2021-05-17 12:32,구경 왔습니다,387,3,1
2022-02-18 15:09,무슨 삼성전기같은 종목,452,3,0
2022-03-31 00:51,조카튼주식  주도  넘겨주지 마라,607,1,1
2021-04-06 10:29,맨날 얘만 왜 못올라감 다른종목들 다 쏠   ,445,3,0
2021-11-09 12:30,  만원 재진입 성공 ,435,2,3
2021-05-19 14:45,지수    절대못간다 염숭아,567,2,6
2021-06-14 21:00,연기금 따라 매수해라,405,3,0
2020-09-25 14:08, 시,348,4,0
2021-04-26 11:18,기관        만주 사고있는건 먼가요,1283,0,2
2021-04-12 14:53,뭔가 있는듯 하네요,571,4,4
2020-08-19 16:31,공매도 부활하면  ,631,3,5
2021-01-13 11:29,  만유  ,316,0,0
2020-06-23 12:24,오늘 적어도   는 가줘야지,453,2,1
2021-06-03 09:43,어제 Amc매콤한맛봤지,281,1,1
2021-12-09 19:38,여기 주포 세력들은,552,2,4
2020-08-09 02:45,꿈깨라,1406,7,3
2021-05-27 17:34,  만원에 애갸뤼 쩌어어어어어어어어어억 ,245,1,1
2021-03-02 09:45,진짜 몇달만이냐,935,6,0
2022-03-26 02:17,답글 큰손 기계들아 장난하냐  요즘 개미들 똑   ,809,3,1
2022-04-01 22:46,돈에 환장한 시래기들의 합창 가관이네,307,2,8
2020-08-03 09:27,   에 단기,713,4,0
2022-05-24 09:19,역시 개사기 랑께,261,1,0
2021-10-01 14:26,쌍끌이 폭탄매도,270,1,0
2020-10-08 14:44,지수 오르는데 떨어지면 넌 정체가 뭐니 ,539,3,2
2021-07-08 15:46,엘리어트 파동 참고하세요,547,1,1
2020-06-09 11:10,KOSPI        삼성전기  만원대   ,525,3,4
2022-06-09 11:57,사면,191,1,0
2022-03-04 15:10,희망고문,340,4,0
2022-06-14 10:44,아이고  ,263,1,0
2022-06-14 16:26,어설퍼 역시  석렬 개사기 선물 매수포,287,0,4
2021-08-03 15:51,와 오늘도 외국인 기관 엄청 샀다       ,1103,10,0
2020-09-08 10:33,오늘 고점찍음         원 추격자들   ,569,1,3
2020-10-29 09:08, 분기 영업이익     억 증권사 목표가   ,727,4,4
2022-05-12 06:20,답글 미장 폭락  오늘 삼기        ,273,2,0
2020-12-23 13:09,삼성전기도 전기자동차 만들자,354,1,1
2021-05-12 10:45,어제 분명,182,0,0
2022-02-21 11:08,답글 투신아,311,3,0
2021-10-01 12:56,눌리면서 매집 같은데,294,1,3
