,number,company,2022,2021,2020
283,009200,무림페이퍼,True,True,True
284,033920,무학,True,True,True
285,008420,문배철강,True,True,True
286,396690,미래에셋글로벌리츠,False,False,False
287,357250,미래에셋맵스리츠,True,False,False
288,085620,미래에셋생명,True,True,True
289,006800,미래에셋증권,True,True,True
290,00680K,미래에셋증권2우B,True,True,True
291,006805,미래에셋증권우,True,True,True
292,002840,미원상사,True,True,True
293,268280,미원에스씨,True,True,True
294,107590,미원홀딩스,True,True,True
295,134380,미원화학,True,True,True
296,003650,미창석유,True,True,True
297,003610,방림,True,True,True
298,001340,백광산업,True,True,True
299,035150,백산,True,True,True
300,007210,벽산,True,True,True
301,002760,보락,True,True,True
302,003850,보령,True,True,True
303,003000,부광약품,True,True,True
304,001270,부국증권,True,True,True
305,001275,부국증권우,True,True,True
306,026940,부국철강,True,True,True
307,011390,부산산업,True,True,True
308,100220,비상교육,True,True,True
309,005180,빙그레,True,True,True
310,003960,사조대림,True,True,True
311,007160,사조산업,True,True,True
312,014710,사조씨푸드,True,True,True
313,006090,사조오양,True,True,True
314,006400,삼성SDI,True,True,True
315,006405,삼성SDI우,True,True,True
316,006660,삼성공조,True,True,True
317,028260,삼성물산,True,True,True
318,02826K,삼성물산우B,True,True,True
319,032830,삼성생명,True,True,True
320,018260,삼성에스디에스,True,True,True
321,009150,삼성전기,True,True,True
322,009155,삼성전기우,True,True,True
323,005930,삼성전자,True,True,True
324,005935,삼성전자우,True,True,True
325,016360,삼성증권,True,True,True
326,068290,삼성출판사,True,True,True
327,029780,삼성카드,True,True,True
328,000810,삼성화재,True,True,True
329,000815,삼성화재우,True,True,True
330,006110,삼아알미늄,True,True,True
331,145990,삼양사,True,True,True
332,145995,삼양사우,True,True,True
333,003230,삼양식품,True,True,True
334,002170,삼양통상,True,True,True
335,272550,삼양패키징,True,True,True
336,000070,삼양홀딩스,True,True,True
337,000075,삼양홀딩스우,True,True,True
338,002810,삼영무역,True,True,True
339,005680,삼영전자,True,True,True
340,023000,삼원강재,True,True,True
341,004380,삼익THK,True,True,True
342,002450,삼익악기,True,True,True
343,000520,삼일제약,True,True,True
344,009770,삼정펄프,True,True,True
345,005500,삼진제약,True,True,True
346,004690,삼천리,True,True,True
347,010960,삼호개발,True,True,True
348,004450,삼화왕관,True,True,True
349,009470,삼화전기,True,True,True
350,001820,삼화콘덴서,True,True,True
351,000390,삼화페인트,True,True,True
352,041650,상신브레이크,True,True,True
353,075180,새론오토모티브,True,True,True
354,007540,샘표,True,True,True
355,248170,샘표식품,True,True,True
356,007860,서연,True,True,True
357,200880,서연이화,True,True,True
358,017390,서울가스,True,True,True
359,021050,서원,True,True,True
360,008490,서흥,True,True,True
361,136490,선진,True,True,True
362,014910,성문전자,True,True,True
363,014915,성문전자우,True,True,True
364,003080,성보화학,True,True,True
365,004980,성신양회,True,True,True
366,004985,성신양회우,True,True,True
367,004360,세방,True,True,True
368,004365,세방우,True,True,True
369,004490,세방전지,True,True,True
370,001430,세아베스틸지주,True,True,True
371,306200,세아제강,True,True,True
372,003030,세아제강지주,True,True,True
373,019440,세아특수강,True,True,True
374,058650,세아홀딩스,True,True,True
375,021820,세원정공,True,True,True
376,067830,세이브존I&C,True,True,True
377,033530,세종공업,True,True,True
378,075580,세진중공업,True,True,True
