,날짜,거래량
155,2021-01-14,0.615533809397867
156,2021-01-15,0.5930529842193423
157,2021-01-18,0.6273472626289346
158,2021-01-19,0.6450674424755356
159,2021-01-20,0.6588204178788681
160,2021-01-21,0.7043991889270919
161,2021-01-22,0.5985189103411801
162,2021-01-25,0.5143260160451378
163,2021-01-26,0.5718064004231681
164,2021-01-27,0.5442122895177642
165,2021-01-28,0.5775368068412237
166,2021-01-29,0.6699285903200216
167,2021-02-01,0.5631667107467159
168,2021-02-02,0.5056863263686856
169,2021-02-03,0.6148285286079517
170,2021-02-04,0.5414793264568453
171,2021-02-05,0.478709336154456
172,2021-02-08,0.5324869963854364
173,2021-02-09,0.5326633165829142
174,2021-02-10,0.44767698139821893
175,2021-02-15,0.4501454641629201
176,2021-02-16,0.37644362161685613
177,2021-02-17,0.3736224984571983
