,날짜,거래량,exchange
105,2020-11-02,0.27232654500573034,0.6159999999999999
106,2020-11-03,0.2396191483734462,0.6088333333333333
107,2020-11-04,0.3844661906021331,0.6090000000000002
108,2020-11-05,0.3486731905139734,0.6058333333333333
109,2020-11-06,0.28396367803931927,0.6151666666666665
110,2020-11-09,0.2825531164594899,0.6259999999999999
111,2020-11-10,0.43145552323018616,0.6406666666666668
112,2020-11-11,0.4926386317552673,0.6401666666666666
113,2020-11-12,0.40721149607687546,0.6459999999999999
114,2020-11-13,0.460900996209116,0.6446666666666666
115,2020-11-16,0.5449175703076784,0.6415000000000002
116,2020-11-17,0.4837344617825973,0.6533333333333333
117,2020-11-18,0.36057480384378,0.6553333333333334
118,2020-11-19,0.27902671250991784,0.6568333333333332
