날짜,PBR
2018-06-21,1.3042098
2018-06-22,1.3135272
2018-06-25,1.3427457
2018-06-26,1.3445373
2018-06-27,1.3539228
2018-06-28,1.2918023
2018-06-29,1.2875601
2018-07-02,1.241181
2018-07-03,1.2815319
2018-07-04,1.3093698
2018-07-05,1.284189
2018-07-06,1.3074015
2018-07-09,1.3000103
2018-07-10,1.3247075
2018-07-11,1.3300339
2018-07-12,1.3730924
2018-07-13,1.3552841
2018-07-16,1.3448142
2018-07-17,1.3231844
2018-07-18,1.1790681
2018-07-19,1.193899
2018-07-20,1.1687125
2018-07-23,1.0893991
2018-07-24,1.086104
2018-07-25,1.0149707
2018-07-26,1.0436753
2018-07-27,1.0873547
2018-07-30,1.106085
2018-07-31,1.1250774
2018-08-01,1.1843853
2018-08-02,1.1707306
2018-08-03,1.1802347
2018-08-06,1.200325
2018-08-07,1.2014551
2018-08-08,1.2038567
2018-08-09,1.216874
2018-08-10,1.2311212
2018-08-13,1.1599119
2018-08-14,1.1363958
2018-08-16,1.1184762
2018-08-17,1.158729
2018-08-20,1.216831
2018-08-21,1.2457843
2018-08-22,1.2688564
2018-08-23,1.2922539
2018-08-24,1.3572408
2018-08-27,1.332343
2018-08-28,1.3303396
2018-08-29,1.3146424
2018-08-30,1.3273216
2018-08-31,1.3672216
2018-09-03,1.3826456
2018-09-04,1.3879403
2018-09-05,1.3988029
2018-09-06,1.3750963
2018-09-07,1.4037138
2018-09-10,1.373657
2018-09-11,1.386746
2018-09-12,1.4256618
2018-09-13,1.4541111
2018-09-14,1.4721626
2018-09-17,1.455301
2018-09-18,1.4637382
2018-09-19,1.4400223
2018-09-20,1.4352475
2018-09-21,1.4703482
2018-09-27,1.496872
2018-09-28,1.473119
2018-10-01,1.4343622
2018-10-02,1.3833793
2018-10-04,1.4154301
2018-10-05,1.3657732
2018-10-08,1.3595531
2018-10-10,1.3365048
2018-10-11,1.2809292
2018-10-12,1.343208
2018-10-15,1.3230084
2018-10-16,1.3551071
2018-10-17,1.3584863
2018-10-18,1.3442037
2018-10-19,1.3530215
2018-10-22,1.3661643
2018-10-23,1.3090091
2018-10-24,1.2283304
2018-10-25,1.1821337
2018-10-26,1.1449546
2018-10-29,1.0355537
2018-10-30,1.073916
2018-10-31,1.1242763
2018-11-01,1.1671801
2018-11-02,1.2210071
2018-11-05,1.2506673
2018-11-06,1.2419975
2018-11-07,1.2328075
2018-11-08,1.2519472
2018-11-09,1.2568109
2018-11-12,1.169302
2018-11-13,1.1930411
2018-11-14,1.2022222
2018-11-15,1.1622118
2018-11-16,1.1795523
