날짜,댓글,조회수,좋아요,싫어요
2020-08-13 09:40,  층 가겠는데 ,218,3,0
2020-08-26 16:28,아니 왜 계속 떨어지나요   ,347,2,0
2022-06-16 15:24,멋지다,84,0,2
2022-01-15 22:33,평단    ,607,3,2
2022-04-18 11:37,답글 모나미,244,0,0
2021-12-09 10:55,올해   주 사서,396,2,2
2020-09-22 12:36,한마디 할까 말까 ,233,4,3
2022-04-03 15:53,녹차로 알콜 새니타이저 만들어라,245,1,0
2020-08-19 23:18,저는지금,498,3,0
2022-03-18 16:47,  만 물량,217,1,1
2022-05-17 21:51,대책회의,184,0,0
2021-12-16 11:22,이쁘다 이뻐,132,0,0
2020-08-13 14:02,라네즈  몰입형 디지털 아트 전시회  라   ,198,0,0
2022-06-17 09:19,서서이 상승세 타다가 상한가 직행합니다    ,137,1,1
2022-03-21 11:27,해외여행 갈땐,148,0,5
2020-09-21 15:50,개잡주 끝모를 나락행이다    ,325,2,2
2020-06-26 09:30,과대 낙폭한 감이 있긴 하네요   ,168,0,1
2020-11-02 11:34,악재소멸 호재만발,296,5,2
2022-05-17 13:18,횡령관련 뉴스,217,1,0
2022-01-06 10:44,서회장님은 뭐 하세요 ,178,2,1
2021-09-27 20:42,중국 화장품 광고 금지,432,3,0
2021-09-13 22:59,리헌상 슨상님,276,3,2
2022-01-10 21:37,용진이 고마워   ,359,1,6
2020-11-20 09:59,나중가면 이 가격이 저점이다,294,5,1
2021-11-21 00:19,그냥 투표를 잘하쟈 나도 미안하다,463,8,13
2022-07-04 13:50,여사님이,232,18,2
2021-01-11 17:30,떡바로해라,176,0,0
2021-06-23 23:18,  년간 일본인의 눈물    이제 곧     ,231,0,0
2021-06-03 11:17,이러다,427,1,0
2022-06-16 17:30,이거 차트상 낼두 떨어지면 매수가 맞아,645,1,8
2022-02-03 16:24,수익   만원갔다   만원으로 마감하였습   ,679,5,7
2021-01-15 09:30,우선주 상가고 있네요   ,325,2,0
2021-09-09 18:23,자 감당할수 없는자들이여 얼릉 팔아라,162,0,1
2022-04-03 18:32,흥보가 생각나네,286,0,0
2021-07-01 09:52,  만원까지는 떨어지네,191,0,0
2021-12-14 12:01,외인들 빌린 주식 일부 상환중,655,0,0
2021-08-08 23:42,아모레그룹 지배구조 및 기업 가치평가,385,1,0
2020-07-05 18:02,본격적턴어라운드,428,4,0
2021-11-08 17:08,기금이는,179,1,0
2021-07-23 15:30,  ,269,1,0
2021-01-19 10:48,어제 대량 매도 연기금,526,4,0
2022-03-29 19:14,외국인 기관,219,2,1
2021-09-24 03:22,아모레 레포트   골드만 ,316,1,2
2022-04-19 09:13,본격적 상승세는  월부터지 않을까 ,286,0,0
2021-01-21 19:56,여긴 엄청 조용하네요,630,5,0
2022-05-16 08:19,자 월급들 다들 준비했지 ,169,0,1
2020-10-14 11:56,이회사는,433,2,3
2022-06-22 19:52,어이없네   ,129,1,0
2022-01-10 05:17,대선후보 누가 적합할까요 ,213,2,5
2022-06-22 10:16,탈출포기 ,113,5,0
2020-09-15 14:51,이제     원 올랐다   배터지긋다 ,174,0,0
2021-04-29 08:29,올해의 주당순이익,264,6,0
2020-06-30 12:50,윗꼬리장난아니네,97,0,0
2022-04-06 07:30,추매 드가자 ,168,1,1
2021-08-11 09:21,죽은 주식,370,2,1
2020-06-02 09:35,아 뭐 걱정마라 ,369,2,1
2020-11-10 00:01,주식은 항상 기대한 반대로 간다,638,6,8
2021-12-10 11:19,엔터  드라마가 중국 버리고 날아갔듯,527,5,1
2020-09-03 23:51,아모뤠퐈뤼  ,195,2,0
2021-07-28 11:54, 시장전체의건전성회복을위해 개인이강하단걸   ,96,0,0
2020-07-01 15:18,누가   이랬노 ,284,3,2
2020-06-09 15:54,설화수 중국 온라인 시장 확대 가속화,341,1,3
2020-06-18 18:11,일시적이벤트효과예상,346,2,1
2022-04-28 12:57,이번에는 진짜다,210,0,2
2022-05-30 14:36,브라질 국가대표팀마저 일주일이나 일찍와서,395,1,1
2021-07-23 11:40, 분기실적도 안 좋은가보네요,148,1,0
2021-11-18 15:33,완전 쓰레기 ,82,1,0
2020-07-25 01:11, 다시 되새겨보는 헤일리기고문 ,370,0,0
2022-05-18 02:40,오늘 물탄 사람들 좋겠다 ,245,2,0
2022-04-12 09:26,외인이 왜 파냐구요 ,506,3,0
2022-01-16 19:40,오미크론잠잠해지면,278,5,1
2022-04-11 07:08,배당금언제주남요 ,176,0,0
2022-06-09 12:52,공매도 세력이 더 못내려 오네 ,164,0,1
2021-08-02 14:38,아모레퍼시픽  희망 없다,178,5,0
2021-07-01 16:27,개미 우습게 알지 마라 삼성전자 카카오도   ,483,1,0
2020-08-12 14:51,  층 주민인데,753,4,1
2020-08-25 11:15,매도  프로 띠기혔다    ,169,0,0
2020-08-28 11:30,초보,128,1,0
2022-04-06 12:20,아 오 OOO,156,0,0
2022-03-24 15:37,개미지옥,173,2,1
2020-07-01 07:54,그냥봐,183,1,0
2021-11-18 16:31,개   발이다,115,1,0
2022-06-30 12:40,탈중국 선제타격    ,96,1,2
2020-10-09 13:28,오늘 휴일 아녔으면 최소 하한가인데,501,5,3
2022-03-13 14:21,안티들 급증가,316,3,5
2020-09-14 15:09,어짜피 종가는 보합 밑,222,2,0
2021-07-23 05:29,오늘도 장대 음봉 ,170,1,0
2021-01-26 16:21,공매도는 폐지되어야합니다,162,3,0
2021-03-09 13:24,      만까지 가야지    ,142,0,0
2021-04-29 01:29,은성수사퇴촉구청원        명 동의    ,136,0,1
2021-04-05 15:22,아모레퍼시픽  한솔제지와 친환경 기술개발   ,316,1,1
2021-09-15 13:02, 나이보이끝,114,0,0
2021-12-17 09:34,추세,224,0,1
2021-07-28 15:29,이 실적을 좋게 평가 ,340,1,3
2021-09-08 19:36,더빼라,132,0,1
2021-07-30 09:50,강 땡땡장         ,200,8,0
2022-01-11 11:36,  주최저가,178,1,0
2022-04-29 15:19,신용으로 최대올인  가자 ,142,1,0
2021-07-01 13:06,per    배    ,147,1,0
2022-06-18 13:58,설화수 링크 배송임시 중지 뜸  시간전에   ,330,0,1
2020-09-17 10:42,Nigimi C  Zot,143,4,0
2020-06-12 14:30,시진핑 언제 오나,360,1,4
2020-10-21 16:28,여긴개미없어 광고하지마,204,1,0
2020-06-30 17:36,종가 입성,266,0,0
2020-07-21 16:46,와 수급매동 역대급   ,354,0,0
2022-01-10 12:37, 분기 실적발표 언젠가요    ,125,0,1
2020-06-17 13:52,작년  월부터,392,0,0
2020-06-30 22:39,네이버 메인뉴스에 떳네요,502,5,1
2022-04-30 21:56,마스크착용 해지관련주,351,3,2
2022-06-22 13:22,엘생   프로 떨어질 때,221,1,2
2022-03-30 06:32,평화협상 급물살 역시 쌍바닥이 맞았어  ,447,3,2
2020-12-02 13:23,                   ,372,0,1
2020-07-17 22:05,어떻게   ,195,1,0
2021-06-14 12:42,현대바이오랜드랑 뭔차이  ,430,0,0
2022-05-17 22:22, 갑자다 내일  시   분에 시장가로     ,142,0,2
2021-09-09 09:15,제가 누누히 말씀드렸죠 ,259,0,1
2021-07-29 08:56,매수할요인없디 투자의견  보유 ,142,1,0
2020-10-08 20:46,문재인정권  QR코드로 사전투표 부정선거   ,287,11,15
2020-06-15 13:29,아모레 망했나요  ,650,1,1
2020-11-16 09:14,외쿡인,169,0,1
2021-09-19 20:41, 차 매수 했습니다,566,7,2
2020-08-21 15:11,단일가 하한가,212,0,1
2022-06-30 15:31,원래 원칙없는놈들이 원칙  타령하고,108,18,0
2020-07-15 14:30,떨어지려면,283,2,0
2020-06-22 14:59,악재소멸,357,1,1
2022-03-17 15:24,속보  아모레 회장 지난해   억원 수령,196,5,0
2022-04-12 10:24,역시 대장,193,3,1
2022-03-30 09:22,아       골드만     ,388,1,0
2020-07-16 12:23, 월  일 코스피     대랑 어찌 가격   ,333,5,0
2021-01-27 13:39,      원 내려와주셈,651,0,1
2021-09-08 17:42,혼자만 다시 코로나쇼크때 가격이네,179,3,0
2022-05-22 16:54,휴  ,277,9,0
2022-03-28 17:24,외인들   일간    만주 매도,205,2,0
2021-07-02 12:03,답글 이러다 불기둥  한번 나오면  개미들     ,127,0,0
2022-06-07 14:58,외인,365,2,0
2021-07-01 17:30,바닥이 안보이네 ,273,3,0
2022-02-17 12:33,좋은 주식이네 ,224,2,0
2021-11-09 13:56,  층 너무 외롭다,752,7,1
2022-04-05 22:01,배당금 ,235,0,4
2021-01-11 13:35,아모레 이 쓰레기땜에 이 호황에 스트레스   ,497,6,0
2021-09-28 11:57,이주식은 답이,167,4,0
2021-09-24 14:11,       ,529,5,3
2020-07-07 12:27,주가관리좀 해라,210,0,0
2022-06-16 14:06,푸근하노    줍자  ,145,2,2
2022-03-18 18:15,잘 생각해보니   우파정권때 늘 떡상했었   ,372,8,5
2021-06-25 12:28,차트가 이게뭐야 ,574,2,0
2022-05-17 14:03,오너 횡령아니고 직원 횡령이고,120,3,1
2022-05-18 08:04,어제 거의역대급 대차잔고 증가,188,3,2
2022-02-09 15:44,실적이 이렇게 나왔는데 뭐라할지 기대되네,323,2,1
2020-07-07 16:17,내일 상가냐   유튜브에서 간다던데,815,1,6
2020-10-18 04:59,요근래 아모레 보면,630,3,2
2021-11-03 20:01,잘있어요  미장으로 간다 ,230,2,0
2020-08-25 15:19,모건  ,269,2,2
2020-08-12 14:01,외인들이 돈이 없어서 안사는게 아니고,534,2,1
2020-06-10 11:54,아모레  ,291,0,6
2021-06-14 22:06,브이티지엠피,414,0,0
2020-09-11 17:47,아모레퍼시픽 아부지,467,2,1
2020-06-30 10:42,아퍼 좋다,222,0,1
2022-03-16 16:12,영업이익      신장,284,2,1
2021-03-31 12:54,드디어 찌라시 돌리면서 매도로 일관하는    ,538,2,0
2022-06-28 13:08, 분기  분기  분기 어닝쇼크 예상,309,5,3
2022-06-24 10:38,증권사 할밍구들 머리위에 점하나 찍으면,139,0,1
2022-05-02 10:16,      ,132,0,0
2022-04-28 22:40,이거 이번에는 크게 가나요 ,331,3,2
2022-06-22 09:40,저가에 담이보자 ,92,0,0
2021-11-22 05:26,흥보가 머라고하나요,372,2,1
2020-08-27 10:39,이건 넘하넵,132,1,0
2020-07-02 13:32,뭐가있긴한듯,303,1,1
2021-01-08 09:11,똥모레 퍼스픽,144,2,0
2020-06-16 15:58,   주고 빰 맞는다는 소리 알지,165,2,0
2020-07-02 10:47,콜마비앤에이치가 세네,234,0,0
2021-09-14 14:41,개,122,2,0
2020-12-15 12:02,  만원대,369,1,3
2021-03-02 19:28,자리가 차암 좋아보이는데   ,222,0,0
2022-03-03 10:36,폭등 전야,481,4,2
2022-02-10 12:12,예술은   폭등이다       G A L   ,156,0,0
2021-10-13 22:21,주봉 바닥,196,0,0
2021-06-24 10:16,지금 들어오는 호구없제 ,287,1,1
2021-06-23 00:17,철강  엔터테인먼트  인플란트  원전     ,328,0,2
2020-07-14 16:42,쓸어담아라   초대박이 기다리고 있다  ,1137,14,2
