,날짜,댓글,조회수,좋아요,싫어요
134,2022-07-01,김영삼 경제오바슈팅imf는 시간지나면해결,31,2,3
135,2022-07-01,어릿광대  짓하는  누구?,24,0,2
136,2022-07-01,노조 때문에 망한 기업,57,0,3
137,2022-07-01,왜 갱상도인이라 떳떳이 말 못하나요......,62,9,3
138,2022-07-01,개미님들 저희는 정부와 공매의 호구이자 ...,60,10,2
139,2022-07-01,좌익들이 태극기에 발작하는 이유,56,5,14
140,2022-07-01,올봄 강남 초등학교 회장선거 진풍경 ㅠㅠ,75,10,2
141,2022-07-01,개명한뜻,54,7,2
142,2022-07-01,외국주식이 한국을 타겟으로 매도한다고 한...,130,15,8
143,2022-07-01,"이야 다시 대통선거 한다면,",123,25,8
144,2022-07-01,역시 서버가,37,1,3
145,2022-07-01,요즘 2030 심각함 ㅋㅋ,135,11,2
146,2022-07-01,투표,44,5,4
147,2022-07-01,폭포,49,0,2
148,2022-07-01,"추가 금리급등이후, 10년 금리하락싸이클...",59,1,2
149,2022-07-01,4만 전자는 시간문제네,59,2,2
150,2022-07-01,천공스님 제자들이 내꿈 실현 ㅋㅋ,52,11,1
151,2022-07-01,멍@청한 놈이 지도자가 되니 개차반 된 ...,54,8,2
152,2022-07-01,금리역전되고 삼성반도체수출실적 안좋,44,2,2
153,2022-07-01,유로달러급리 2019년 저점 붕괴시킨다 ...,44,0,2
154,2022-07-01,주주방에 왜 죄명이글 넘쳐남???,55,2,10
155,2022-07-01,금리 얼마 오르지도 않았는데,68,4,2
156,2022-07-01,이너무 나라는 이미 김건희 천하다!!,50,2,3
157,2022-07-01,2030들아 너희들의 분노의 대상은,67,8,4
158,2022-07-01,대통령차이가 크네요,101,21,5
159,2022-07-01,한때 세계휴대폰              ...,63,2,4
160,2022-07-01,우리나라가 왜 대기업이 잘되야하는 이유,71,2,6
161,2022-07-01,한투연을 우섭게 보지마라!!,50,6,1
162,2022-07-01,미 기준금리 다음인상도 자이언트스탭,53,1,1
163,2022-07-01,내일 다시 대통선거한다면???,141,39,8
164,2022-07-01,윤땡이의 선제타격  성공~,44,9,1
165,2022-07-01,한동훈FBI출장 미국갔어,114,10,1
166,2022-07-01,윤석열은 나 찍지말라고 분명 경고했었다,86,20,3
167,2022-07-01,선재타격의 묘미...?!,48,2,2
168,2022-07-01,공매도 제도를 공정하게 하려면,41,0,3
169,2022-07-01,외인들 금융시장 돈 다 빼나보다,67,6,1
170,2022-07-01,주옥선이 왜 독일가서 위안부기념비 철거하...,59,12,1
171,2022-07-01,좌파공기업 박살난 이유,65,3,10
172,2022-07-01,오늘도 그냥 미장 떨어진다고 보고,45,0,2
173,2022-07-01,경상도 분들은 표준어 빨리 익혀야....,70,15,1
174,2022-07-01,문재인 그리우면 개추,52,16,2
175,2022-07-01,답글:[삭제된 게시물의 답글]내가 뉴스보고 미...,26,1,1
176,2022-07-01,빚투자 실패로 일가족 극단선택,104,2,3
177,2022-07-01,미국채 폭등 = 전고점돌파 ==> 숏 전...,60,0,2
178,2022-07-01,대가리깨져도 문죄앙???,85,2,19
179,2022-07-01,이재명 대통령이었으면,99,22,3
180,2022-07-01,월욜  오후에  공매금지 시킬지도 모르겠...,55,0,6
181,2022-07-01,전 세계의 경제를 다 쓸고 갈 대 ~공황...,42,2,1
182,2022-07-01,왜구씨 개 샹 도넘들 자증하라,40,6,1
183,2022-07-01,유성룡이 쓴 징비록,70,6,1
184,2022-07-01,선제 타격 운운하는 재앙이 때문에,45,9,1
185,2022-07-01,인플레 종료??? = 100프로 사기꾼이...,57,1,1
186,2022-07-01,문대통령이,98,22,3
187,2022-07-01,B.M,28,0,2
188,2022-07-01,거의 버닥,32,1,2
